metric_name,accuracy,accuracy,accuracy,accuracy
classifier_name,DecisionTree,LogisticRegression,RandomForest,SVC
analcatdata_germangss,0.3153,0.2995,0.2377,0.2245
chess,0.9948,0.9729,0.9913,0.9960
analcatdata_happiness,0.4783,0.6217,0.3467,0.5967
analcatdata_japansolvent,0.7400,0.8333,0.8650,0.7883
vote,0.9461,0.9580,0.9534,0.9618
colic,0.8224,0.8178,0.8459,0.8135
dna,0.9188,0.9480,0.9525,0.9615
vowel,0.8207,0.6715,0.9763,0.9901
movement_libras,0.6842,0.7672,0.8250,0.8792
analcatdata_dmft,0.2045,0.2156,0.2195,0.2370
allrep,0.9620,0.9018,0.9521,0.9007
appendicitis,0.8473,0.8427,0.8445,0.8718
page_blocks,0.9113,0.8921,0.9483,0.9136
new_thyroid,0.9314,0.9682,0.8886,0.9705
backache,0.7572,0.7239,0.7722,0.6239
flare,0.7786,0.7385,0.7434,0.7723
postoperative_patient_data,0.5500,0.4578,0.5289,0.7778
hepatitis,0.7744,0.8131,0.8013,0.8075
analcatdata_cyyoung8092,0.7800,0.7780,0.7330,0.7820
car,0.9729,0.4990,0.9731,0.9857
